,Rank,Name,Name.1,Nation,Points,771,763,759,749,747,2005,event,gender,athlete_id
0,1,Vaitsekhovskii,Evgenii,RUS,400.00,1. 100.00,3. 65.00,4. 55.00,1. 100.00,2. 80.00,2005,speed,MEN,6132
1,2,Sinitcyn,Sergei,RUS,341.00,2. 80.00,2. 80.00,3. 65.00,3. 65.00,5. 51.00,2005,speed,MEN,5141
2,3,Oleksy,Tomasz,POL,273.00,4. 55.00,1. 100.00,7. 43.00,5. 51.00,14. 24.00,2005,speed,MEN,906
3,4,Peshekhonov,Alexander,RUS,254.00,,6. 47.00,2. 80.00,2. 80.00,6. 47.00,2005,speed,MEN,5464
4,5,Chaoulsky,Alexandre,RUS,174.00,,,1. 100.00,9. 37.00,9. 37.00,2005,speed,MEN,2567
5,6,Hroza,Libor,CZE,168.00,6. 47.00,7. 43.00,9. 37.00,11. 31.00,21. 10.00,2005,speed,MEN,5651
6,7,Soubbotine,Iakov,RUS,164.00,,4. 55.00,11. 31.00,6. 47.00,11. 31.00,2005,speed,MEN,2514
7,8,Lai,Chi-Wai,HKG,159.00,5. 51.00,11. 31.00,20. 12.00,7. 43.00,15. 22.00,2005,speed,MEN,5005
8,9,Minatchev,Evgueni,RUS,147.00,,,6. 47.00,,1. 100.00,2005,speed,MEN,2501
9,10,Styenkovyy,Maksym,UKR,140.00,,5. 51.00,,4. 55.00,10. 34.00,2005,speed,MEN,2586
10,11,Sharafutdinov,Dmitrii,RUS,130.00,,,5. 51.00,14. 24.00,4. 55.00,2005,speed,MEN,5781
11,12,Komondi,Csaba,HUN,86.00,,14. 24.00,15. 22.00,8. 40.00,,2005,speed,MEN,135
12,12,Lakhin,Oleksandr,UKR,86.00,,10. 34.00,14. 24.00,12. 28.00,,2005,speed,MEN,3237
13,14,Sadyrov,Marat,RUS,85.00,,,,16. 20.00,3. 65.00,2005,speed,MEN,2613
14,15,Chen,Xiaojie,CHN,65.00,3. 65.00,,,,,2005,speed,MEN,5758
15,16,Shyshkovskyy,Ivan,UKR,63.00,,9. 37.00,,17. 18.00,23. 8.00,2005,speed,MEN,3256
16,17,Kosterin,Alexander,RUS,48.00,,,,10. 34.00,19. 14.00,2005,speed,MEN,5293
17,18,Ma,Hetai,CHN,43.00,7. 43.00,,,,,2005,speed,MEN,5940
18,18,Vorobyev,Valeriy,RUS,43.00,,,,,7. 43.00,2005,speed,MEN,6944
19,20,Svacha,Jiri,CZE,42.00,,12. 28.00,19. 14.00,,,2005,speed,MEN,6306
20,21,Escobar,Manuel,VEN,40.00,,,8. 40.00,,,2005,speed,MEN,3235
21,21,Kuzovlev,Nikolai,RUS,40.00,,,,,8. 40.00,2005,speed,MEN,6945
22,21,Swirk,Lukasz,POL,40.00,,8. 40.00,,,,2005,speed,MEN,8200
23,21,Ye,Xiangyang,CHN,40.00,8. 40.00,,,,,2005,speed,MEN,6397
24,25,Wahid,Syafiq Utama Abdul,SGP,37.00,9. 37.00,,,,,2005,speed,MEN,7430
25,26,Abu Hassan,Khairul Hafiz,MAS,34.00,10. 34.00,,,,,2005,speed,MEN,5936
26,26,Carvajal,Nestor,VEN,34.00,,,10. 34.00,,,2005,speed,MEN,3648
27,28,Darmawahyu,Dharma,INA,33.00,,13. 26.00,24. 7.00,,,2005,speed,MEN,6407
28,29,Kaurov,Ivan,RUS,32.00,,,18. 16.00,18. 16.00,,2005,speed,MEN,5137
29,30,Mohd Yusoff,Muhammad Ridzuan,SGP,31.00,11. 31.00,,,,,2005,speed,MEN,7315
30,31,Bokhari,Hafzanizam,MAS,28.00,12. 28.00,,,,,2005,speed,MEN,5459
31,31,Chapelle,Sylvain,FRA,28.00,,,12. 28.00,,,2005,speed,MEN,3065
32,31,Skripov,Anatoly,RUS,28.00,,,,,12. 28.00,2005,speed,MEN,5852
33,34,Garbov,Kalin,BUL,26.00,,,,13. 26.00,,2005,speed,MEN,478
34,34,Januel,Nicolas,FRA,26.00,,,13. 26.00,,,2005,speed,MEN,3176
35,34,Low,"Kien Seong, Francis",MAS,26.00,13. 26.00,,,,,2005,speed,MEN,4996
36,34,Portsev,Dmitriy,RUS,26.00,,,,,13. 26.00,2005,speed,MEN,6115
37,38,Li,Guangpu,CHN,24.00,14. 24.00,,,,,2005,speed,MEN,6781
38,39,Chernikov,Mikhail,RUS,22.00,,,17. 18.00,,27. 4.00,2005,speed,MEN,6935
39,39,Ngai,Po-fuk,HKG,22.00,15. 22.00,,,,,2005,speed,MEN,6766
40,39,Videnovski,Milen,BUL,22.00,,,,15. 22.00,,2005,speed,MEN,636
41,42,Couchot,Thomas,FRA,20.00,,,16. 20.00,,,2005,speed,MEN,7182
42,42,Lobzov,Stanislav,RUS,20.00,,,,,16. 20.00,2005,speed,MEN,6133
43,42,Muhamad,Uzair,SGP,20.00,16. 20.00,,,,,2005,speed,MEN,5759
44,45,Gutorin,Egor,RUS,18.00,,,,,17. 18.00,2005,speed,MEN,6946
45,46,Poplavskiy,Stanislav,RUS,16.00,,,,,18. 16.00,2005,speed,MEN,2631
46,47,Wang,Janmin,CHN,14.00,,,,19. 14.00,,2005,speed,MEN,5761
47,48,Lazarov,Blagovest,BUL,12.00,,,,20. 12.00,,2005,speed,MEN,6656
48,48,Tsipilev,Nikolai,RUS,12.00,,,,,20. 12.00,2005,speed,MEN,6938
49,50,Avramov,Stefan,BUL,10.00,,,,21. 10.00,,2005,speed,MEN,6302
50,50,De Las Salas,Leonel,VEN,10.00,,,21. 10.00,,,2005,speed,MEN,5275
51,52,Boulbahaiem,Salah,BEL,9.00,,,,22. 9.00,,2005,speed,MEN,6167
52,52,Cassiday,Patrick,USA,9.00,,,22. 9.00,,,2005,speed,MEN,3626
53,52,Lyukhanov,Konstantin,RUS,9.00,,,,,22. 9.00,2005,speed,MEN,6157
54,55,Praveen,C. M.,IND,8.00,,,23. 8.00,,,2005,speed,MEN,5953
55,56,Kozlov,Vasily,RUS,7.00,,,,,24. 7.00,2005,speed,MEN,5138
56,57,Ashton,William,USA,6.00,,,25. 6.00,,,2005,speed,MEN,7181
57,57,Zemski,Alexei,RUS,6.00,,,,,25. 6.00,2005,speed,MEN,2575
58,59,Olshevskii,Dmitriy,RUS,5.00,,,,,26. 5.00,2005,speed,MEN,6947
59,60,Peshekhonov,Evgeny,RUS,3.00,,,,,28. 3.00,2005,speed,MEN,6948
60,61,Vasilets,Alexander,BLR,2.00,,,,,29. 2.00,2005,speed,MEN,6949
61,62,Devyaterikov,Artyom,KAZ,1.00,,,,,30. 1.00,2005,speed,MEN,6940
