,Rank,Name,Name.1,Nation,Points,1204,1203,1202,1201,1200,1197,2009,event,gender,athlete_id
0,1,Ernst,Johanna,AUT,416.00,3. 65.00,5. 51.00,1. 100.00,1. 100.00,23. (8.00),1. 100.00,2009,lead,WOMEN,7563
1,2,KIM,Jain,KOR,354.00,6. 47.00,1. 100.00,2. 80.00,4. 55.00,2. 72.00,20. (12.00),2009,lead,WOMEN,5983
2,3,Vidmar,Maja,SLO,336.00,8. 40.00,2. 80.00,3. 65.00,5. 51.00,1. 100.00,13. (25.00),2009,lead,WOMEN,3482
3,4,Eiter,Angela,AUT,295.00,9. 37.00,11. (31.00),4. 55.00,2. 80.00,2. 72.00,5. 51.00,2009,lead,WOMEN,3487
4,5,Markovic,Mina,SLO,274.00,1. 100.00,3. 65.00,11. 29.00,13. 25.00,4. 55.00,19. (14.00),2009,lead,WOMEN,5169
5,6,Ciavaldini,Caroline,FRA,243.00,5. 51.00,6. 47.00,6. 47.00,7. 43.00,10. (34.00),4. 55.00,2009,lead,WOMEN,5183
6,7,Kobayashi,Yuka,JPN,232.00,4. 55.00,7. 40.00,11. (29.00),6. 47.00,7. 43.00,6. 47.00,2009,lead,WOMEN,5254
7,8,Gros,Natalija,SLO,219.00,10. 31.00,14. 22.00,9. 35.00,15. (22.00),5. 51.00,2. 80.00,2009,lead,WOMEN,2755
8,9,Sarkany,Muriel,BEL,193.00,17. (18.00),4. 55.00,14. 24.00,10. 34.00,8. 40.00,8. 40.00,2009,lead,WOMEN,1272
9,10,Chereshneva,Yana,RUS,190.00,21. (9.00),13. 26.00,7. 43.00,13. 25.00,11. 31.00,3. 65.00,2009,lead,WOMEN,6324
10,11,Dufraisse,Alizée,FRA,180.00,13. 26.00,14. 22.00,,3. 65.00,6. 47.00,16. 20.00,2009,lead,WOMEN,6219
11,11,Noguchi,Akiyo,JPN,180.00,2. 80.00,7. 40.00,13. 26.00,,,10. 34.00,2009,lead,WOMEN,6326
12,13,Durif,Charlotte,FRA,178.00,7. 43.00,7. 40.00,5. 51.00,18. 16.00,24. (7.00),12. 28.00,2009,lead,WOMEN,6513
13,14,Eyer,Alexandra,SUI,175.00,14. 24.00,18. (14.00),8. 40.00,9. 37.00,9. 37.00,9. 37.00,2009,lead,WOMEN,991
14,15,Schranz,Christine,AUT,150.00,15. 21.00,12. 28.00,9. 35.00,8. 40.00,13. 26.00,22. (9.00),2009,lead,WOMEN,5629
15,16,Pinet,Florence,FRA,138.00,23. 8.00,10. 34.00,15. 22.00,11. 31.00,,7. 43.00,2009,lead,WOMEN,5245
16,17,Malamid,Evgeniia,RUS,117.00,10. 31.00,26. 5.00,,12. 28.00,15. 22.00,11. 31.00,2009,lead,WOMEN,5147
17,18,Bacher,Barbara,AUT,94.00,18. 14.00,14. 22.00,16. 20.00,25. (6.00),16. 20.00,17. 18.00,2009,lead,WOMEN,1030
18,19,Lavarda,Jenny,ITA,87.00,10. 31.00,23. (8.00),18. 16.00,20. 12.00,20. 12.00,18. 16.00,2009,lead,WOMEN,1179
19,20,Gosar,Asja,SLO,86.00,24. 7.00,25. (6.00),17. 18.00,16. 20.00,18. 16.00,13. 25.00,2009,lead,WOMEN,5899
20,21,Wurm,Juliane,GER,64.00,15. 21.00,17. 18.00,19. 14.00,27. (4.00),26. 5.00,25. 6.00,2009,lead,WOMEN,6064
21,22,Han,Seuran,KOR,50.00,21. 9.00,21. 10.00,20. 12.00,,19. 14.00,26. 5.00,2009,lead,WOMEN,8963
22,23,Le Neve,Melissa,FRA,42.00,,,,19. 14.00,12. 28.00,,2009,lead,WOMEN,9074
23,24,schöpf,Bettina,AUT,40.00,,,,22. 9.00,22. 9.00,15. 22.00,2009,lead,WOMEN,1042
24,25,Avezou,Cecile,FRA,36.00,25. 6.00,18. 14.00,22. 9.00,,27. 4.00,27. 3.00,2009,lead,WOMEN,1055
25,26,Thévenet,Marine,FRA,26.00,,,,,14. 24.00,29. 2.00,2009,lead,WOMEN,6514
26,27,DiGiulian,Sasha,USA,24.00,,,,17. 18.00,25. 6.00,,2009,lead,WOMEN,7939
27,28,Avoscan,Sara,ITA,18.00,27. 3.00,,,26. 5.00,,21. 10.00,2009,lead,WOMEN,8781
28,28,Ociepka,Kinga,POL,18.00,,,,,17. 18.00,,2009,lead,WOMEN,3484
29,28,van Bergen,Nikki,NED,18.00,,,21. 10.00,23. 8.00,,,2009,lead,WOMEN,8196
30,31,Brumagne,Mathilde,BEL,15.00,,22. 9.00,26. 5.00,,,30. 1.00,2009,lead,WOMEN,6076
31,32,Fakhritdinova,Dinara,RUS,14.00,18. 14.00,,,,,,2009,lead,WOMEN,7576
32,32,Kudrova,Nelly,CZE,14.00,,18. 14.00,,,,,2009,lead,WOMEN,6593
33,32,Schmid,Christina,SUI,14.00,18. 14.00,,,,,,2009,lead,WOMEN,3751
34,35,Choong,Katherine,SUI,13.00,27. 3.00,,,,28. 3.00,24. 7.00,2009,lead,WOMEN,6457
35,36,Bacher,Sabine,AUT,11.00,30. 1.00,,,21. 10.00,,,2009,lead,WOMEN,2821
36,36,Faure,Jessica,FRA,11.00,26. 5.00,,25. 6.00,,,,2009,lead,WOMEN,9072
37,38,Couchot,Mathilde,FRA,10.00,,,,,21. 10.00,,2009,lead,WOMEN,5635
38,39,Janicot,Hélène,FRA,8.00,,,,,,23. 8.00,2009,lead,WOMEN,9077
39,39,Midtboe,Hannah,NOR,8.00,,,23. 8.00,,,,2009,lead,WOMEN,6522
40,39,Ostapenko,Olena,UKR,8.00,,30. 1.00,,24. 7.00,,,2009,lead,WOMEN,1015
41,42,Holmberg,Malin,SWE,7.00,,,24. 7.00,,,,2009,lead,WOMEN,9793
42,42,Hrozova,Lucie,CZE,7.00,,24. 7.00,,,,,2009,lead,WOMEN,5633
43,44,Hayen,Magali,BEL,4.00,,,27. 4.00,,,,2009,lead,WOMEN,9010
44,44,Kusztelak,Malgorzata,POL,4.00,,27. 4.00,,,,,2009,lead,WOMEN,7175
45,46,Aleman Sobrino,Helena,ESP,3.00,,,28. 3.00,,,,2009,lead,WOMEN,9105
46,46,Cintalova,Zuzana,SVK,3.00,,28. 3.00,,,,,2009,lead,WOMEN,2770
47,46,Claassen,Paige,USA,3.00,,,,29. 2.00,30. 1.00,,2009,lead,WOMEN,7292
48,46,Hensley,Tiffany,USA,3.00,,,,28. 3.00,,,2009,lead,WOMEN,7290
49,46,Rohner,Amanda,SUI,3.00,27. 3.00,,,,,,2009,lead,WOMEN,6072
50,46,Thomas,Emeline,FRA,3.00,,,,,,27. 3.00,2009,lead,WOMEN,7710
51,52,Bibik,Olga,RUS,2.00,,,,,29. 2.00,,2009,lead,WOMEN,1308
52,52,Hnizdilova,Sona,CZE,2.00,,29. 2.00,,,,,2009,lead,WOMEN,3141
53,54,Neumärker,Luisa,GER,1.00,,,,30. 1.00,,,2009,lead,WOMEN,6065
